Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Year,Disaster Type,Iso,Country Name,Occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage
Afghanistan,AFG,"Population, total",SP.POP.TOTL,"8,994,793","9,164,945","9,343,772","9,531,555","9,728,645","9,935,358","10,148,841","10,368,600","10,599,790","10,849,510","11,121,097","11,412,821","11,716,896","12,022,514","12,315,553","12,582,954","12,831,361","13,056,499","13,222,547","13,283,279","13,211,412","12,996,923","12,667,001","12,279,095","11,912,510","11,630,498","11,438,949","11,337,932","11,375,768","11,608,351","12,067,570","12,789,374","13,745,630","14,824,371","15,869,967","16,772,522","17,481,800","18,034,130","18,511,480","19,038,420","19,701,940","20,531,160","21,487,079","22,507,368","23,499,850","24,399,948","25,183,615","25,877,544","26,528,741","27,207,291","27,962,207","28,809,167","29,726,803","30,682,500","31,627,506","32,526,562",null,1963,Flood,AFG,Afghanistan,1,107,null,null,null,null,null
Afghanistan,AFG,"Population, total",SP.POP.TOTL,"8,994,793","9,164,945","9,343,772","9,531,555","9,728,645","9,935,358","10,148,841","10,368,600","10,599,790","10,849,510","11,121,097","11,412,821","11,716,896","12,022,514","12,315,553","12,582,954","12,831,361","13,056,499","13,222,547","13,283,279","13,211,412","12,996,923","12,667,001","12,279,095","11,912,510","11,630,498","11,438,949","11,337,932","11,375,768","11,608,351","12,067,570","12,789,374","13,745,630","14,824,371","15,869,967","16,772,522","17,481,800","18,034,130","18,511,480","19,038,420","19,701,940","20,531,160","21,487,079","22,507,368","23,499,850","24,399,948","25,183,615","25,877,544","26,528,741","27,207,291","27,962,207","28,809,167","29,726,803","30,682,500","31,627,506","32,526,562",null,1969,Drought,AFG,Afghanistan,1,null,null,48000,null,48000,200000
Afghanistan,AFG,"Population, total",SP.POP.TOTL,"8,994,793","9,164,945","9,343,772","9,531,555","9,728,645","9,935,358","10,148,841","10,368,600","10,599,790","10,849,510","11,121,097","11,412,821","11,716,896","12,022,514","12,315,553","12,582,954","12,831,361","13,056,499","13,222,547","13,283,279","13,211,412","12,996,923","12,667,001","12,279,095","11,912,510","11,630,498","11,438,949","11,337,932","11,375,768","11,608,351","12,067,570","12,789,374","13,745,630","14,824,371","15,869,967","16,772,522","17,481,800","18,034,130","18,511,480","19,038,420","19,701,940","20,531,160","21,487,079","22,507,368","23,499,850","24,399,948","25,183,615","25,877,544","26,528,741","27,207,291","27,962,207","28,809,167","29,726,803","30,682,500","31,627,506","32,526,562",null,1971,Drought,AFG,Afghanistan,1,null,null,null,null,null,null
Afghanistan,AFG,"Population, total",SP.POP.TOTL,"8,994,793","9,164,945","9,343,772","9,531,555","9,728,645","9,935,358","10,148,841","10,368,600","10,599,790","10,849,510","11,121,097","11,412,821","11,716,896","12,022,514","12,315,553","12,582,954","12,831,361","13,056,499","13,222,547","13,283,279","13,211,412","12,996,923","12,667,001","12,279,095","11,912,510","11,630,498","11,438,949","11,337,932","11,375,768","11,608,351","12,067,570","12,789,374","13,745,630","14,824,371","15,869,967","16,772,522","17,481,800","18,034,130","18,511,480","19,038,420","19,701,940","20,531,160","21,487,079","22,507,368","23,499,850","24,399,948","25,183,615","25,877,544","26,528,741","27,207,291","27,962,207","28,809,167","29,726,803","30,682,500","31,627,506","32,526,562",null,1971,Landslide,AFG,Afghanistan,1,100,null,null,null,null,null
Afghanistan,AFG,"Population, total",SP.POP.TOTL,"8,994,793","9,164,945","9,343,772","9,531,555","9,728,645","9,935,358","10,148,841","10,368,600","10,599,790","10,849,510","11,121,097","11,412,821","11,716,896","12,022,514","12,315,553","12,582,954","12,831,361","13,056,499","13,222,547","13,283,279","13,211,412","12,996,923","12,667,001","12,279,095","11,912,510","11,630,498","11,438,949","11,337,932","11,375,768","11,608,351","12,067,570","12,789,374","13,745,630","14,824,371","15,869,967","16,772,522","17,481,800","18,034,130","18,511,480","19,038,420","19,701,940","20,531,160","21,487,079","22,507,368","23,499,850","24,399,948","25,183,615","25,877,544","26,528,741","27,207,291","27,962,207","28,809,167","29,726,803","30,682,500","31,627,506","32,526,562",null,1972,Flood,AFG,Afghanistan,1,150,null,250000,null,250000,null
Afghanistan,AFG,"Population, total",SP.POP.TOTL,"8,994,793","9,164,945","9,343,772","9,531,555","9,728,645","9,935,358","10,148,841","10,368,600","10,599,790","10,849,510","11,121,097","11,412,821","11,716,896","12,022,514","12,315,553","12,582,954","12,831,361","13,056,499","13,222,547","13,283,279","13,211,412","12,996,923","12,667,001","12,279,095","11,912,510","11,630,498","11,438,949","11,337,932","11,375,768","11,608,351","12,067,570","12,789,374","13,745,630","14,824,371","15,869,967","16,772,522","17,481,800","18,034,130","18,511,480","19,038,420","19,701,940","20,531,160","21,487,079","22,507,368","23,499,850","24,399,948","25,183,615","25,877,544","26,528,741","27,207,291","27,962,207","28,809,167","29,726,803","30,682,500","31,627,506","32,526,562",null,1976,Earthquake,AFG,Afghanistan,1,50,null,90000,null,90000,null
Afghanistan,AFG,"Population, total",SP.POP.TOTL,"8,994,793","9,164,945","9,343,772","9,531,555","9,728,645","9,935,358","10,148,841","10,368,600","10,599,790","10,849,510","11,121,097","11,412,821","11,716,896","12,022,514","12,315,553","12,582,954","12,831,361","13,056,499","13,222,547","13,283,279","13,211,412","12,996,923","12,667,001","12,279,095","11,912,510","11,630,498","11,438,949","11,337,932","11,375,768","11,608,351","12,067,570","12,789,374","13,745,630","14,824,371","15,869,967","16,772,522","17,481,800","18,034,130","18,511,480","19,038,420","19,701,940","20,531,160","21,487,079","22,507,368","23,499,850","24,399,948","25,183,615","25,877,544","26,528,741","27,207,291","27,962,207","28,809,167","29,726,803","30,682,500","31,627,506","32,526,562",null,1976,Flood,AFG,Afghanistan,1,51,null,80000,null,80000,null
Afghanistan,AFG,"Population, total",SP.POP.TOTL,"8,994,793","9,164,945","9,343,772","9,531,555","9,728,645","9,935,358","10,148,841","10,368,600","10,599,790","10,849,510","11,121,097","11,412,821","11,716,896","12,022,514","12,315,553","12,582,954","12,831,361","13,056,499","13,222,547","13,283,279","13,211,412","12,996,923","12,667,001","12,279,095","11,912,510","11,630,498","11,438,949","11,337,932","11,375,768","11,608,351","12,067,570","12,789,374","13,745,630","14,824,371","15,869,967","16,772,522","17,481,800","18,034,130","18,511,480","19,038,420","19,701,940","20,531,160","21,487,079","22,507,368","23,499,850","24,399,948","25,183,615","25,877,544","26,528,741","27,207,291","27,962,207","28,809,167","29,726,803","30,682,500","31,627,506","32,526,562",null,1978,Flood,AFG,Afghanistan,1,120,140,264044,7500,271684,52000000
Albania,ALB,"Population, total",SP.POP.TOTL,"1,608,800","1,659,800","1,711,319","1,762,621","1,814,135","1,864,791","1,914,573","1,965,598","2,022,272","2,081,695","2,135,479","2,187,853","2,243,126","2,296,752","2,350,124","2,404,831","2,458,526","2,513,546","2,566,266","2,617,832","2,671,997","2,726,056","2,784,278","2,843,960","2,904,429","2,964,762","3,022,635","3,083,605","3,142,336","3,227,943","3,286,542","3,266,790","3,247,039","3,227,287","3,207,536","3,187,784","3,168,033","3,148,281","3,128,530","3,108,778","3,089,027","3,060,173","3,051,010","3,039,616","3,026,939","3,011,487","2,992,547","2,970,017","2,947,314","2,927,519","2,913,021","2,904,780","2,900,247","2,896,652","2,893,654","2,889,167",null,1967,Earthquake,ALB,Albania,1,11,134,null,null,134,null
Algeria,DZA,"Population, total",SP.POP.TOTL,"11,124,892","11,404,859","11,690,152","11,985,130","12,295,973","12,626,953","12,980,269","13,354,197","13,744,383","14,144,437","14,550,033","14,960,111","15,377,095","15,804,428","16,247,113","16,709,098","17,190,236","17,690,184","18,212,331","18,760,761","19,337,723","19,943,667","20,575,701","21,228,288","21,893,857","22,565,908","23,241,276","23,917,889","24,591,493","25,257,671","25,912,364","26,554,277","27,180,921","27,785,977","28,362,015","28,904,300","29,411,839","29,887,717","30,336,880","30,766,551","31,183,658","31,590,320","31,990,387","32,394,886","32,817,225","33,267,887","33,749,328","34,261,971","34,811,059","35,401,790","36,036,159","36,717,132","37,439,427","38,186,135","38,934,334","39,666,519",null,1960,Earthquake,DZA,Algeria,1,57,null,null,1250,1250,null
